[2013-09-25 11:23:51] --> lat:  | long: 
[2013-09-25 11:35:54] --> lat:  | long: 
[2013-09-25 11:37:06] --> lat:  | long: 
[2013-09-25 11:38:11] --> lat:  | long: 
[2013-09-25 11:38:34] --> lat:  | long: 
[2013-09-25 11:38:43] --> lat:  | long: 
[2013-09-25 11:38:55] --> lat:  | long: 
[2013-09-25 11:39:19] --> lat:  | long: 
[2013-09-25 11:39:38] --> lat:  | long: 
[2013-09-25 11:40:28] --> lat:  | long: 
[2013-09-25 11:40:56] --> lat:  | long: 
[2013-09-25 11:41:07] --> lat:  | long: 
[2013-09-25 11:43:58] --> lat: 100 | long: 100
[2013-09-25 11:44:49] --> lat: 100 | long: 100
[2013-09-25 11:46:24] --> lat: 100 | long: 100
[2013-09-25 11:46:31] --> lat: 100 | long: 100
[2013-09-25 11:47:13] --> lat: 20.67359 | long: -103.343803
[2013-09-25 11:50:14] --> lat: 20.67359 | long: -103.343803
[2013-09-25 11:50:25] --> lat: 20.67359 | long: -103.343803
[2013-09-25 11:50:33] --> lat: 20.67359 | long: -103.343803
[2013-09-25 11:50:57] --> lat: 20.67359 | long: -103.343803
[2013-09-25 11:51:16] --> lat: 20.67359 | long: -103.343803
[2013-09-25 11:51:44] --> lat: 20.67359 | long: -103.343803
[2013-09-25 11:52:13] --> lat: 20.67359 | long: -103.343803
[2013-09-26 10:58:47] --> lat:  | long: 
[2013-09-26 10:58:55] --> lat:  | long: 
[2013-09-26 13:10:51] --> lat:  | long: 
[2013-09-26 13:11:22] --> lat:  | long: 
[2013-09-27 09:56:55] --> lat:  | long: 
[2013-09-27 09:58:49] --> lat:  | long: 
[2013-09-27 09:58:51] --> lat:  | long: 
[2013-09-27 09:58:52] --> lat:  | long: 
[2013-09-27 10:00:19] --> lat:  | long: 
